Movie,Distributor,Genre,RunTime,MPAA,Budget,ForeignSale
Mojave,A24,Thriller,93,R,,
Golden Kingdom,Kino Lorber,Drama,103,Unrated,,
I Don't Belong Anywhere:The Cinema of Chantal Akerman,Icarus Films,Documentary,67,Unknown,,
The President,Corinth Films,Drama,119,Unrated,,
They Will Have to Kill Us First,BBC Worldwide North America,Documentary,105,Unrated,,
Viktoria,Big World Pictures,Drama,155,Unrated,,
Lucha Mexico,Kino Lorber,Documentary,103,Unrated,,
The Preppie Connection,IFC,Crime Drama,95,R,,
The Brainwashing of My Dad,JSenko,Documentary,90,Unrated,,
Boom Bust Boom,Brainstorm Media,Documentary,74,Unrated,,
Mad Tiger,Film Movement,Documentary,82,Not Yet Rated,,
The Romans,Indican,Drama,97,Unrated,,
Talent Has Hunger,First Run,Documentary,82,Unrated,,
Fritz Lang's Destiny (2016 re-release),Kino Lorber,Fantasy,98,Unrated,,
Bourek,Argot Pictures,Comedy,90,Unrated,,
Indian Point,First Run,Documentary,94,Unrated,,
The Other Side,Film Movement,Documentary,92,Unrated,,
Men Go To Battle,Film Movement,Drama,98,Unrated,,
The Dying of the Light,First Run,Documentary,85,Unrated,,
The Channel,Indican,Horror Thriller,93,Unrated,,
Welcome to Happiness,FilmBuff,Fantasy Comedy,108,Unrated,,
Star Crossed,Indican,Drama,78,Unrated,,
A Perfect Day,IFC,Drama,106,R,,1697431
Call Her Applebroog,Zeitgeist,Documentary,70,Unrated,,
Roseanne for President!,IFC,Documentary,96,Unrated,,
Marinoni:The Fire in the Frame,First Run,Documentary,90,Unrated,,
Sworn Virgin,Strand,Foreign,90,Unrated,,
A Bit of Bad Luck,Indican,Comedy / Drama,86,Unrated,,
Automatic Hate,Film Movement,Comedy / Drama,97,Unrated,,
Search Party,Focus World,Comedy,93,R,,
Synchronicity,Magnolia,Sci-Fi Thriller,101,R,,
Phantom Boy,GKIDS,Animation,84,PG,,
Breaking a Monster,Abramorama,Documentary,93,Unrated,,
Hot Water,Indican,Documentary,80,Unrated,,
Burning Bodhi,"Monterey Media, Inc.",Drama,93,R,,
In Harmony,Distrib Films,Drama,87,Unrated,,
The Professor:Tai Chi's Journey West,First Run,Documentary,72,Unrated,,
White Lies,Artmattan Prods.,Drama,99,Unrated,,
Mekong Hotel,Strand,Foreign,61,Unrated,,
From the East,Icarus Films,Documentary,110,Unrated,,
Memoria,"Monterey Media, Inc.",Drama,70,R,,
The Vigilante Diaries,Anchor Bay Films,Action,107,R,,
Miss India America,MarVista Entertainment,Comedy / Drama,95,Unrated,,
Hyena Road,Samuel Goldwyn,War Drama,120,R,,
The Silence of Mark Rothko,Icarus Films,Documentary,52,Unrated,,
Yalom's Cure,First Run,Documentary,74,Unrated,,
Next Time I'll Aim for the Heart,Distrib Films,Crime Drama,111,Unrated,,
Satanic,Magnolia,Horror,85,R,,
Star Wars:The Force Awakens,Buena Vista,Sci-Fi Fantasy,136,PG-13,245000000,1131516000
Jurassic World,Universal,Sci-Fi Horror,124,PG-13,150000000,652270625
Avengers:Age of Ultron,Buena Vista,Action / Adventure,141,PG-13,250000000,946408000
Inside Out,Buena Vista,Animation,94,PG,175000000,356461711
Furious 7,Universal,Action,137,PG-13,190000000,1163038891
Minions,Universal,Animation,91,PG,74000000,336045770
The Hunger Games:Mockingjay - Part 2,Lionsgate,Action / Adventure,137,PG-13,160000000,371704359
The Martian,Fox,Sci-Fi,141,PG-13,108000000,401728227
Cinderella (2015),Buena Vista,Fantasy,112,PG,95000000,342363000
Spectre,Sony / Columbia,Action,148,PG-13,245000000,680600000
Mission:Impossible - Rogue Nation,Paramount,Action,130,PG-13,150000000,487287762
Pitch Perfect 2,Universal,Comedy,115,PG-13,29000000,103209964
The Revenant,Fox,Action / Adventure,151,R,135000000,349312609
